Wavenumber,Intensity
2804.8217,0.348427
2806.6854,0.348195
2808.5491,0.347789
2810.4127,0.347016
2812.2764,0.346452
2814.1401,0.346182
2816.0037,0.345907
2817.8674,0.345358
2819.7311,0.344818
2821.5947,0.343929
2823.4584,0.342243
2825.3221,0.341016
2827.1857,0.339983
2829.0494,0.338414
2830.9131,0.337147
2832.7768,0.336144
2834.6404,0.335247
2836.5041,0.334454
2838.3678,0.333510
2840.2314,0.332674
2842.0951,0.332995
2843.9588,0.334237
2845.8224,0.335401
2847.6861,0.337101
2849.5498,0.339154
2851.4134,0.341282
2853.2771,0.343233
2855.1408,0.345048
2857.0045,0.346568
2858.8681,0.347793
2860.7318,0.348592
2862.5955,0.348644
2864.4591,0.349232
2866.3228,0.350602
2868.1865,0.351824
2870.0501,0.353481
2871.9138,0.355444
2873.7775,0.356110
2875.6411,0.356264
2877.5048,0.356681
2879.3685,0.356755
2881.2321,0.356136
2883.0958,0.355763
2884.9595,0.355750
2886.8232,0.355889
2888.6868,0.356392
2890.5505,0.356780
2892.4142,0.356843
2894.2778,0.356461
2896.1415,0.355634
2898.0052,0.354439
2899.8688,0.353636
2901.7325,0.353399
2903.5962,0.353299
2905.4598,0.353204
2907.3235,0.353525
2909.1872,0.354831
2911.0509,0.355833
2912.9145,0.356012
2914.7782,0.357402
2916.6419,0.359867
2918.5055,0.362604
2920.3692,0.365167
2922.2329,0.367798
2924.0965,0.370937
2925.9602,0.374237
2927.8239,0.377228
2929.6875,0.380035
2931.5512,0.382321
2933.4149,0.384598
2935.2785,0.386378
2937.1422,0.387208
2939.0059,0.388030
2940.8696,0.389389
2942.7332,0.390495
2944.5969,0.390859
2946.4606,0.391930
2948.3242,0.394389
2950.1879,0.396620
2952.0516,0.398096
2953.9152,0.400445
2955.7789,0.403682
2957.6426,0.406921
2959.5062,0.409949
2961.3699,0.412464
2963.2336,0.414293
2965.0972,0.415263
2966.9609,0.415584
2968.8246,0.414868
2970.6883,0.412914
2972.5519,0.408957
2974.4156,0.403903
2976.2793,0.398866
2978.1429,0.393542
2980.0066,0.387605
2981.8703,0.380768
2983.7339,0.374042
2985.5976,0.367608
2987.4613,0.360665
2989.3249,0.354592
2991.1886,0.349460
2993.0523,0.344049
2994.9160,0.339208
2996.7796,0.335309
2998.6433,0.331401
3000.5070,0.327581
3002.3706,0.324845
3004.2343,0.322507
